progressivo_settimana,anno,settimana,incidenza
1,2023,33,0.150
2,2023,34,0.220
3,2023,35,0.310
4,2023,36,0.410
5,2023,37,0.480
6,2023,38,0.590
7,2023,39,0.790
8,2023,40,0.760
9,2023,41,0.770
10,2023,42,0.780
11,2023,43,0.810
12,2023,44,0.860
13,2023,45,1.160
14,2023,46,1.280
15,2023,47,1.480
16,2023,48,1.460
17,2023,49,1.770
18,2023,50,1.930
19,2023,51,1.710
20,2023,52,1.430
21,2024,1,1.190
22,2024,2,1.080
23,2024,3,0.890
24,2024,4,0.810
25,2024,5,0.740
26,2024,6,0.700
27,2024,7,0.710
28,2024,8,0.670
29,2024,9,0.700
30,2024,10,0.670
31,2024,11,0.680
32,2024,12,0.630
33,2024,13,0.570
34,2024,14,0.580
35,2024,15,0.550
36,2024,16,0.490
37,2024,17,0.500
38,2024,18,0.520
39,2024,19,0.520
40,2024,20,0.470
41,2024,21,0.510
42,2024,22,0.470
43,2024,23,0.420
44,2024,24,0.410
45,2024,25,0.380
46,2024,26,0.430
47,2024,27,0.460
48,2024,28,0.510
49,2024,29,0.500
50,2024,30,0.500
51,2024,31,0.170
52,2024,32,0.160
