Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,10,40,0,2.34,9960,10,30,0,0,0
2,14,54,0,2.06,9946,24,30,0,0,0
3,7,61,0,1.88,9939,31,30,0,0,0
4,11,72,0,2.07,9928,36,36,0,0,0
5,4,75,0,2.22,9924,25,48,1,0,2
6,25,96,0,1.09,9899,45,50,1,0,5
7,10,105,0,1.08,9889,43,59,2,0,7
8,4,107,0,3.28,9885,41,63,3,0,8
9,2,108,0,2.94,9883,24,79,5,0,9
10,24,127,0,3.44,9859,33,85,7,0,16
11,12,130,0,2.96,9847,38,83,9,0,23
12,19,146,0,2.12,9828,55,81,10,0,26
13,15,158,0,1.09,9813,52,94,12,0,29
14,17,171,0,1.62,9796,55,101,14,1,33
15,13,179,0,2.69,9783,50,114,14,1,38
16,18,194,0,2.47,9765,53,124,15,2,41
17,20,208,0,2.28,9745,55,131,19,3,47
18,23,227,0,2.36,9722,63,138,22,4,51
19,21,245,0,2.33,9701,67,153,20,5,54
20,33,268,0,1.31,9668,82,159,24,3,64
21,24,287,0,1.4,9644,82,177,24,4,69
22,23,298,0,2.64,9621,85,182,26,5,81
23,22,312,0,2.51,9599,79,203,26,4,89
24,33,337,0,2.72,9566,83,223,26,5,97
25,29,352,0,2.83,9537,88,232,30,2,111
26,31,368,0,2.88,9506,101,234,30,3,126
27,24,385,0,2.06,9482,95,252,34,4,133
28,34,405,0,2.04,9448,97,267,39,2,147
29,45,434,0,3.12,9403,110,286,37,1,163
30,36,453,0,3.11,9367,123,287,41,1,181
31,42,479,0,3.19,9325,134,305,38,2,196
32,32,494,0,3.21,9293,121,334,36,3,213
33,39,510,0,3.24,9254,119,356,32,3,236
34,49,543,0,2.2,9205,130,375,34,4,252
35,56,582,0,2.19,9149,152,387,38,5,269
36,56,622,0,3.35,9093,175,393,47,6,286
37,58,656,0,3.44,9035,184,412,49,11,309
38,61,705,0,3.57,8974,190,440,61,12,323
39,64,744,0,3.7,8910,204,464,65,11,346
40,70,781,0,3.66,8840,212,491,63,14,380
41,64,817,0,2.79,8776,216,513,75,13,407
42,80,860,0,2.87,8696,230,542,79,9,444
43,74,904,0,4.12,8622,237,566,90,9,476
44,78,947,0,4.1,8544,250,586,103,7,510
45,64,976,0,4.35,8480,230,635,99,10,546
46,79,1014,0,4.49,8401,242,663,99,10,585
47,84,1062,0,4.62,8317,250,690,110,11,622
48,94,1112,1,3.82,8223,274,705,118,11,668
49,106,1163,1,3.78,8117,296,731,126,8,721
50,98,1222,1,4.99,8019,312,764,137,8,759
51,94,1256,1,4.98,7925,321,798,132,5,818
52,109,1320,1,5.22,7816,328,839,148,5,863
53,109,1376,2,5.52,7707,337,873,157,7,917
54,98,1412,2,6.17,7609,348,895,156,12,978
55,117,1465,2,4.76,7492,363,930,161,10,1042
56,125,1529,2,4.9,7367,367,980,170,10,1104
57,108,1572,2,6.08,7259,376,1006,175,12,1170
58,97,1604,2,6.33,7162,356,1044,186,15,1235
59,130,1663,3,6.53,7032,377,1080,190,15,1303
60,124,1723,3,6.71,6908,381,1131,193,17,1367
61,104,1754,3,6.89,6804,388,1152,196,15,1442
62,152,1826,3,6.04,6652,420,1175,209,19,1522
63,141,1886,3,6.31,6511,427,1225,210,20,1604
64,113,1906,3,7.44,6398,430,1237,213,23,1696
65,101,1917,3,7.67,6297,403,1275,216,21,1785
66,132,1961,4,7.73,6165,383,1334,216,24,1874
67,130,1996,4,7.91,6035,399,1359,218,18,1967
68,130,2031,4,8.1,5905,423,1355,228,19,2066
69,129,2071,4,7.25,5776,437,1380,233,16,2154
70,138,2094,4,7.3,5638,435,1384,255,15,2269
71,116,2095,4,8.37,5522,431,1389,251,15,2388
72,127,2120,4,8.67,5395,412,1435,249,19,2486
73,127,2143,4,8.86,5268,398,1469,254,22,2585
74,130,2172,4,9.38,5138,415,1473,258,25,2687
75,111,2160,4,9.33,5027,394,1489,243,29,2814
76,141,2181,4,9.15,4886,428,1470,247,31,2934
77,140,2180,4,8.29,4746,423,1468,253,30,3076
