Day,Variation of Infected,Prevalence,Deaths,Seconds,classS,classE,classI,classT3,classT4,classR
1,440,1436,0,36.71,23564,440,996,0,0,0
2,362,1798,1,37.62,23201,803,975,20,0,0
3,136,1934,1,43.48,23065,939,931,63,1,0
4,129,2063,1,42.98,22936,1066,900,95,2,0
5,96,2159,1,42.94,22840,1060,963,131,5,0
6,243,2402,1,17.7,22595,943,1301,149,8,3
7,251,2653,1,20.09,22304,940,1518,180,12,45
8,150,2803,1,52.29,22097,989,1589,208,17,99
9,86,2889,1,53.19,21959,998,1627,240,22,153
10,93,2982,1,50.27,21818,989,1713,258,21,200
11,118,3100,1,51.03,21645,898,1902,282,18,254
12,134,3234,1,51.88,21444,849,2066,292,27,321
13,102,3336,1,30.26,21220,883,2115,311,24,446
14,46,3382,1,31.2,21025,931,2086,334,25,598
15,-15,3367,1,54.2,20889,913,2070,353,27,747
16,60,3427,1,54.18,20725,905,2112,377,31,849
17,78,3505,1,57.42,20555,848,2223,402,30,941
18,69,3574,1,63.23,20391,811,2295,432,32,1038
19,86,3660,2,59.43,20202,817,2366,434,41,1138
20,108,3768,2,37.6,19992,879,2387,451,45,1244
21,106,3874,4,39.6,19756,958,2410,461,44,1367
22,26,3900,4,63.46,19598,954,2431,468,44,1501
23,49,3949,4,66.07,19422,950,2491,460,44,1629
24,58,4007,4,65.95,19242,937,2553,466,49,1749
25,47,4054,4,71.01,19048,918,2612,471,51,1896
26,50,4104,6,80.51,18839,910,2658,484,47,2056
27,99,4203,6,45.64,18589,996,2655,511,40,2203
28,96,4299,7,54.87,18354,1061,2669,516,50,2343
29,-7,4292,8,90.38,18192,1051,2664,526,46,2513
30,38,4330,9,74.93,18021,1013,2717,550,46,2644
31,-15,4315,9,74.46,17841,983,2728,548,47,2844
32,-17,4298,9,71.96,17670,890,2812,543,44,3032
33,-21,4277,11,68.63,17494,857,2848,525,43,3222
34,31,4308,11,47.13,17274,902,2814,541,47,3411
35,28,4336,12,47.15,17073,935,2811,541,44,3584
36,-45,4291,12,76.86,16904,921,2801,523,42,3797
37,-36,4255,12,74.04,16734,919,2774,520,38,4003
38,-51,4204,12,74.18,16572,888,2757,515,39,4217
39,-29,4175,12,68.46,16404,846,2764,519,36,4419
40,-40,4135,12,68.15,16231,836,2724,538,32,4627
41,-3,4132,12,45.75,16027,876,2664,547,39,4835
42,-26,4106,12,29.18,15859,876,2650,534,41,5028
43,-56,4050,12,46.02,15710,853,2630,521,40,5234
44,-88,3962,14,46.59,15569,831,2585,493,46,5462
45,-49,3913,14,44.44,15418,793,2587,478,48,5662
46,-57,3856,14,57.35,15255,769,2571,459,47,5885
47,-58,3798,14,72.67,15100,749,2517,483,45,6092
48,32,3830,14,48.56,14885,827,2475,476,47,6276
49,-37,3793,15,50.22,14728,832,2440,471,47,6467
50,-41,3752,15,68.74,14604,794,2448,457,49,6633
51,-43,3709,15,71.39,14467,783,2409,464,48,6814
52,-55,3654,15,73.32,14346,729,2403,470,46,6991
53,-35,3619,15,62.64,14221,666,2413,496,42,7147
54,-70,3549,15,61.52,14095,627,2382,488,48,7345
55,13,3562,16,38.66,13898,687,2341,478,49,7531
56,-1,3561,16,38.53,13728,724,2311,472,51,7698
57,-92,3469,16,44.72,13641,704,2234,477,49,7879
58,-30,3439,17,44.55,13520,692,2232,460,51,8028
59,-54,3385,17,30.92,13406,657,2231,443,52,8194
60,-82,3303,17,30.93,13296,583,2250,418,45,8391
61,-53,3250,17,38.23,13169,572,2229,411,36,8566
62,-40,3210,17,21.87,13040,588,2177,407,34,8737
63,-22,3188,17,21.2,12904,605,2143,405,30,8896
64,-85,3103,17,37.68,12818,586,2097,385,31,9066
65,-72,3031,17,36.42,12730,560,2052,379,33,9229
66,-94,2937,17,33.31,12635,528,1988,383,31,9418
67,-68,2869,17,27.85,12543,482,1955,393,32,9578
68,-83,2786,17,35.69,12459,444,1927,380,32,9741
69,-24,2762,17,19.3,12323,488,1882,354,36,9900
70,-36,2726,17,17.65,12209,520,1821,350,33,10050
71,-67,2659,17,34.89,12129,512,1767,340,30,10205
72,-83,2576,17,34.45,12060,491,1711,339,31,10351
73,-59,2517,17,34.19,11973,469,1669,342,30,10500
74,-62,2455,17,35.18,11889,424,1676,323,30,10641
75,-52,2403,17,30.83,11804,407,1645,316,31,10780
76,-6,2397,17,13.16,11686,443,1605,315,32,10902
77,-15,2382,17,12.55,11577,478,1552,306,40,11030
78,-58,2324,17,24.89,11500,470,1509,303,38,11163
79,-55,2269,17,24.67,11430,457,1471,296,40,11289
80,-71,2198,17,24.53,11363,421,1452,278,43,11426
81,-86,2112,17,24.6,11298,391,1401,280,40,11573
82,-62,2050,17,27.7,11241,347,1391,274,35,11695
83,-6,2044,17,11.51,11155,347,1373,293,28,11787
84,-31,2013,17,11.63,11065,369,1335,277,29,11908
85,-74,1939,18,30.91,11021,341,1289,283,23,12025
86,-71,1868,18,30.44,10971,332,1237,279,19,12144
87,-67,1801,18,29.84,10924,303,1200,272,19,12264
88,-50,1751,18,30.06,10874,268,1201,261,17,12361
89,-69,1682,18,29.66,10826,240,1162,257,17,12480
90,-38,1644,18,12.37,10760,250,1132,241,17,12582
91,-30,1614,18,12.07,10690,283,1070,243,16,12680
92,-46,1568,18,29.16,10650,268,1048,234,17,12765
93,-40,1528,18,29.02,10609,261,1017,228,19,12848
94,-67,1461,19,22.64,10567,248,974,215,21,12956
95,-56,1405,19,28.24,10528,221,965,197,19,13051
96,-80,1325,20,27.6,10494,198,920,187,14,13167
97,-26,1299,20,9.96,10443,210,875,189,23,13240
98,-20,1279,21,9.92,10385,220,854,182,21,13317
99,-61,1218,21,22.94,10357,211,806,176,18,13411
100,-52,1166,22,19.83,10328,198,779,169,16,13488
101,-33,1133,22,19.91,10279,216,726,177,13,13567
102,-29,1104,22,19.94,10252,189,725,176,14,13622
103,-44,1060,22,21.5,10228,161,704,178,15,13692
104,-32,1028,22,6.74,10184,173,677,164,12,13768
105,-25,1003,22,6.58,10159,166,670,158,9,13816
106,-29,974,22,18.81,10130,148,662,149,14,13875
107,-26,948,22,18.58,10105,146,632,156,14,13925
108,-48,900,22,18.78,10090,134,605,146,14,13989
109,-32,868,22,18.25,10058,131,583,135,16,14055
110,-52,816,22,18.5,10043,109,571,121,14,14120
111,-20,796,22,5.45,10006,128,550,106,11,14177
112,-24,772,22,5.63,9971,139,529,95,8,14236
113,-32,740,22,17.77,9958,128,517,86,8,14281
114,-18,722,22,18.08,9938,119,508,87,8,14318
115,-29,693,22,17.72,9919,117,475,92,8,14367
116,-25,668,22,18.17,9904,98,475,85,8,14408
117,-26,642,22,17.74,9887,89,455,85,12,14450
